id,name,birth_year,employment_start
77d70114-fa4a-4127-a8fa-5b8ac4991633,Julianna Jarmuła,1991-10-07 00:00:00,2021-11-27 00:00:00
fc94efc7-c75c-43c7-a9d7-5442c1970302,Gustaw Topa,1986-04-04 00:00:00,2016-11-25 00:00:00
dbe51d04-497e-4def-8e4b-3bb7f35970a1,Julian Stanclik,1962-02-25 00:00:00,2007-08-12 00:00:00
fcca6153-405b-4b3f-b22e-b8a52edc453d,Tobiasz Twardosz,1967-06-11 00:00:00,2005-12-04 00:00:00
e3c13739-2ea8-4c65-8c6f-91f2468fe0a7,Angelika Dębniak,1960-01-16 00:00:00,2010-07-18 00:00:00
5c4afd30-c727-42a8-b9b0-7eb392e7e0e0,Damian Zaranek,1973-12-10 00:00:00,2021-06-14 00:00:00
db1038c7-3634-40cc-be69-15c0a8c58e68,Aurelia Karkocha,1982-06-14 00:00:00,2010-12-17 00:00:00
0bea5d95-748c-48a3-94dd-41b371fe1ad5,Gaja Trzyna,1974-01-13 00:00:00,2001-08-16 00:00:00
937453fe-d63f-494d-80a1-4bdfa3bcab54,pan Paweł Hermann,1962-11-16 00:00:00,2004-03-28 00:00:00
87f45f02-173f-48f9-8c34-614c2dfc37e1,Mateusz Błażejczak,1997-05-08 00:00:00,2014-10-11 00:00:00
22946d59-edf9-4f82-930f-04a8764e0682,pan Tadeusz Pawlaczek,1972-06-21 00:00:00,2010-11-30 00:00:00
e0bf8575-c4f4-4ff6-a938-ffc9e5d7336c,Eliza Broncel,1989-07-10 00:00:00,2018-12-01 00:00:00
750c39f5-3e80-4b88-8838-f1044fceacbb,Juliusz Kuczaj,1985-09-02 00:00:00,2015-05-23 00:00:00
d043f6e7-b6ac-4fad-8a6f-43efa216fee6,Piotr Konstanty,1960-06-01 00:00:00,2023-03-02 00:00:00
db4fcc25-c18c-4575-b9e2-d18ce151657d,Aleksander Ciapa,1992-05-24 00:00:00,2016-11-19 00:00:00
f4486d14-271b-4317-821e-0d6040c0c3b7,Iwo Mazepa,1995-09-22 00:00:00,2001-12-30 00:00:00
96963bec-4b14-4af1-84b8-534e18d09212,Dawid Skwira,1970-03-11 00:00:00,2000-02-10 00:00:00
afd8498c-8a42-4dbe-bbdc-0e254d4a3b9f,Stefan Hnat,1997-06-18 00:00:00,2012-12-11 00:00:00
8794cca5-e9dc-4559-9cc5-d01c301781a3,Apolonia Grochowina,2001-10-27 00:00:00,2022-03-10 00:00:00
44fed86b-0c81-4709-9f65-0b01ae8ff1f0,Konstanty Nędzi,1995-09-03 00:00:00,2003-05-15 00:00:00
8ca985df-2712-43b0-9696-794ca9bcea98,Tobiasz Dziugieł,1967-12-28 00:00:00,2010-02-20 00:00:00
4f408ef0-d2f7-4414-8ce5-c28b6238b419,Tadeusz Bicz,1988-10-06 00:00:00,2011-11-15 00:00:00
41d7a633-4fcf-45d3-8a12-8dff7e32593a,Norbert Olma,1974-03-16 00:00:00,2010-05-10 00:00:00
476a6b2e-ed04-4409-a0cc-7d7c6ccb5b1a,pani Ada Kapciak,1978-03-09 00:00:00,2011-12-28 00:00:00
8c65379f-9f13-47c3-a3b6-a3a273734651,pan Ryszard Gral,1964-02-12 00:00:00,2000-03-16 00:00:00
2e310b48-0cde-4ec7-b96d-f06b30133b2a,Leon Warwas,1968-09-24 00:00:00,2015-04-10 00:00:00
0f87820a-da91-4ed5-8d26-e4aa22d09cae,pan Bartek Pych,1999-01-27 00:00:00,2014-08-08 00:00:00
39d781c3-f85a-475d-8bbc-2dd3acc2efd0,Ryszard Twardzik,2004-07-26 00:00:00,2000-09-27 00:00:00
a8afea4e-8f34-4054-9bf5-07b590c31de8,pani Urszula Uliasz,1964-04-02 00:00:00,2023-01-08 00:00:00
7c9a8d3f-80d1-442c-b8c7-7a77a1cb4b99,Marika Bandyk,1987-02-04 00:00:00,2023-07-28 00:00:00
bd34005e-1cfb-4374-a14e-5b6322003362,Jan Nyk,2003-07-14 00:00:00,2018-02-04 00:00:00
c0e406ba-822a-45ba-8aae-bed8e7b67b9d,Ada Cop,1967-03-01 00:00:00,2002-05-21 00:00:00
f94f7de9-9921-4284-8c28-d04412daeed4,Mariusz Molak,1974-08-21 00:00:00,2021-02-08 00:00:00
3d90f683-831e-4344-afac-cbd074a32bd0,Tadeusz Dynak,1961-03-02 00:00:00,2023-08-04 00:00:00
f888323a-4ee6-46e1-84a3-8f16293d248a,Olaf Radzio,1968-01-28 00:00:00,2001-10-17 00:00:00
8ca25eab-b6ca-4ece-ad55-d5c76bcb902e,Łukasz Kuśnierek,1965-12-24 00:00:00,2007-01-13 00:00:00
b4cf3592-8d83-4923-9eb3-fbd85f636747,pan Adam Fidura,1966-09-05 00:00:00,2005-08-08 00:00:00
ea28e119-8eb9-4a9c-93a9-872e72ca35be,Oliwier Friedrich,1992-04-16 00:00:00,2003-09-28 00:00:00
c85f5b8e-16c5-44a5-8565-04b3be14fc44,pani Roksana Nestorowicz,1999-12-08 00:00:00,2001-07-18 00:00:00
b984df6b-a921-45f6-a715-ccbb525bd95e,pan Karol Trąbka,1974-05-12 00:00:00,2019-05-16 00:00:00
2690ee52-3a7d-43f1-8cd0-17e21e77823f,pan Leon Oszust,1960-06-27 00:00:00,2018-01-09 00:00:00
97f754c4-5fd4-470a-a8dd-053c597398be,pani Tola Dziechciarz,1962-04-04 00:00:00,2010-04-20 00:00:00
ee993fe2-7bea-49ff-bae0-500d2ecb65eb,pani Kamila Maligłówka,1981-01-13 00:00:00,2002-01-18 00:00:00
2f6d8465-f26d-4cf4-809c-cfc07d05fc62,Natasza Wawszczak,1990-11-27 00:00:00,2019-12-01 00:00:00
0cdf09ab-723c-4230-84ca-cadf1ab8aff6,Dorota Stefankiewicz,1973-04-03 00:00:00,2010-02-01 00:00:00
4a13265c-c34e-48d6-86d7-4abc8502ac16,Klara Sieja,1976-03-30 00:00:00,2016-05-29 00:00:00
20bc9b3c-0cee-41f0-9563-7f6faae2950d,pan Józef Kaliciak,1991-09-01 00:00:00,2004-11-10 00:00:00
a7166d1c-02cb-4e30-8d68-fdb5c1454789,Julian Wojtaszczyk,1970-01-16 00:00:00,2020-04-30 00:00:00
7467f021-e602-4a93-94b9-3f30b4117e59,Andrzej Kaczmarkiewicz,2001-08-03 00:00:00,2003-11-26 00:00:00
c32e04ee-42b1-4dfe-a144-42398b9ab85a,pan Marcin Żuberek,1974-12-22 00:00:00,2003-06-13 00:00:00
27a2d164-13c5-44d7-a741-a4d8110ef4e7,Kazimierz Radko,2003-03-04 00:00:00,2000-09-08 00:00:00
68062794-64be-4531-82d3-cc6326b588e3,pan Kacper Tomal,1997-12-23 00:00:00,2004-12-10 00:00:00
4f1fbf8a-c394-46f6-af26-15fb3a81012a,Klara Kościukiewicz,1972-03-16 00:00:00,2000-12-17 00:00:00
14bbe73f-6183-4ff1-ae25-2f68f46821c3,Kajetan Kapustka,1963-11-22 00:00:00,2007-05-08 00:00:00
f9ebccae-0574-40ee-b7c3-5134cc76c800,Tadeusz Kapka,1964-11-08 00:00:00,2012-08-02 00:00:00
29280711-e514-4fee-8601-737de24d895b,Klara Ciężka,1974-04-27 00:00:00,2017-11-17 00:00:00
263c3932-0eb7-421f-80ed-5164ecc9ac02,Piotr Koziatek,2002-05-12 00:00:00,2022-02-24 00:00:00
23601c9d-2919-41c5-9db1-8fb222dcc2e2,Albert Baś,1999-10-04 00:00:00,2022-10-01 00:00:00
fac72f40-378e-42ec-a823-25e1bb3818da,Malwina Gryga,1998-04-23 00:00:00,2017-09-25 00:00:00
63816cc7-6fd4-4ded-b6eb-30c404975610,pan Błażej Cywka,1975-06-26 00:00:00,2007-09-14 00:00:00
28996489-2acb-4239-aeea-1a88f9d169b2,pani Roksana Andrejczuk,1963-08-18 00:00:00,2007-08-02 00:00:00
f73244b2-362e-4780-b5a8-51933379ebde,Ernest Pałgan,1988-10-16 00:00:00,2018-04-28 00:00:00
2da2cbfb-2a5a-4c16-926f-db692c8369a8,Blanka Matura,1990-07-20 00:00:00,2023-02-12 00:00:00
d431448c-6b73-4eb6-b7ed-1c7269a29035,Elżbieta Oszust,1970-09-15 00:00:00,2019-07-12 00:00:00
e35fe813-0ef4-4d87-8dee-73efff53365e,Dawid Supernak,2005-01-23 00:00:00,2008-08-12 00:00:00
7f92d9fe-b200-4aed-b94b-09626e7c0cf8,pani Kaja Borysiewicz,1994-11-12 00:00:00,2021-05-06 00:00:00
7ca089c7-80c0-45f8-98b1-76533fdc6a1b,Kazimierz Kanik,1990-09-08 00:00:00,2020-06-14 00:00:00
4dfa0370-28db-4f77-89c8-21c26ee583c2,Ida Mularz,2004-04-01 00:00:00,2009-04-23 00:00:00
903cab50-8abe-459d-902d-78171b2366f3,pani Ewa Droździk,1966-07-07 00:00:00,2012-11-03 00:00:00
d93dcdb6-96c1-4516-8a31-0030923dcd13,Krystian Langa,1983-02-18 00:00:00,2014-07-14 00:00:00
d8911e4e-7715-4df9-9649-cd6939b15392,Gabriel Ochwat,1992-12-06 00:00:00,2006-08-24 00:00:00
6a927099-d645-4405-82c2-b2527c4ff3b6,Anastazja Liśkiewicz,2001-02-25 00:00:00,2002-07-11 00:00:00
c877bf3c-6ff7-4333-bb51-fb6636823a08,Stefan Bazylewicz,1988-12-27 00:00:00,2020-08-10 00:00:00
92b74ee0-ffb1-459e-bdce-5f8fa2e026bd,pani Inga Grzelec,1986-06-18 00:00:00,2010-11-16 00:00:00
78e6c1e0-6395-40cf-bb03-9da8783a711c,pani Agnieszka Miotke,1989-08-11 00:00:00,2015-04-21 00:00:00
ea62c311-ba97-4316-ab68-2da621e6e56b,Anita Żuberek,1981-10-27 00:00:00,2010-01-12 00:00:00
4f9c98ae-795a-4099-9568-07462f9372af,Fabian Kamieniak,1999-10-07 00:00:00,2005-04-07 00:00:00
1925d781-e898-4b7c-ab5b-fbe0fbb85317,Michał Dziurla,1969-07-01 00:00:00,2010-08-25 00:00:00
f72e294e-2804-4cfd-b9ca-584429c3a3e8,Robert Kocaj,1971-05-12 00:00:00,2018-12-10 00:00:00
273da515-f0ce-4bb0-9ea1-97bf79a55064,Tomasz Pernak,1988-07-23 00:00:00,2009-10-03 00:00:00
9304882f-b8bb-43c5-a7cd-6a084fb5751d,Nela Tyka,1972-10-06 00:00:00,2016-11-27 00:00:00
4c353cf2-84f8-4ca0-a0d4-eddf5bb9c5ba,pan Krzysztof Kozar,1972-01-27 00:00:00,2018-05-20 00:00:00
0435e829-0668-472a-aa20-d23719bcf740,Urszula Bembenek,2004-06-23 00:00:00,2005-01-09 00:00:00
b64e8fbe-0f27-46ef-8836-4e7cf1fde323,pan Nikodem Szafarz,1962-01-22 00:00:00,2018-06-04 00:00:00
e92e489c-6488-4992-8643-b1eeccffe4de,pani Gaja Giel,1966-12-24 00:00:00,2009-03-25 00:00:00
d8e33430-96b6-4afe-8660-b4d5251ca842,pani Aurelia Kabza,1984-02-29 00:00:00,2002-08-23 00:00:00
b54dd0bf-7b45-433f-bb34-9138d494180b,Adrianna Furgał,1986-05-09 00:00:00,2015-08-10 00:00:00
31d5f002-4ff6-4ae5-a69b-e4a37138f804,Norbert Romańczyk,1979-07-01 00:00:00,2005-01-11 00:00:00
96ff0495-0071-48e3-a429-28bef235a44d,Krzysztof Sołtan,1978-11-16 00:00:00,2002-03-08 00:00:00
2a8fb6db-80e0-4b11-b404-dc5e4a6b3e7e,pani Roksana Żybura,1996-01-22 00:00:00,2016-05-19 00:00:00
de025677-efad-48d4-b886-7ed9dd6050e3,Sonia Kryza,1987-09-05 00:00:00,2020-11-30 00:00:00
7d44a39d-ed66-4ca6-9d16-a90bbfb68cde,Kornelia Beśka,1976-03-07 00:00:00,2024-05-22 00:00:00
c4734e24-5995-428f-bf4d-546eb74eb7ac,Artur Faruga,1985-02-26 00:00:00,2024-01-20 00:00:00
95bce987-f39a-4021-a72d-32137544946b,pan Paweł Dziurla,1980-04-08 00:00:00,2021-09-18 00:00:00
c7d395fc-0f63-4c52-8457-f5198883abba,Norbert Tadeusiak,1972-11-13 00:00:00,2021-12-13 00:00:00
070eb66d-c913-480a-9e15-e00402e403d5,Julian Kosela,2002-03-02 00:00:00,2010-08-24 00:00:00
ee65fa92-5af6-4a37-8a5b-65eb4b8b04af,Kajetan Śmieszek,1971-07-04 00:00:00,2001-05-03 00:00:00
bb66193d-7fc8-44b7-a3cc-ddc4da834982,Nataniel Chłąd,1978-04-14 00:00:00,2011-10-18 00:00:00
3841e3d2-d09e-4a01-81c4-0c53ffee07e4,pan Dariusz Łyjak,1976-07-20 00:00:00,2018-11-23 00:00:00
e8068d78-a5d7-42da-80f2-3a8e6a394260,pani Sandra Kupidura,2005-03-09 00:00:00,2021-03-19 00:00:00
db701d12-0244-493a-bb0a-40a6c065efc6,Eryk Bartoszczyk,1972-07-02 00:00:00,2006-06-05 00:00:00
96cdc7b9-88e6-44c2-8553-212e7a06f572,pani Apolonia Malcher,1992-11-18 00:00:00,2001-02-10 00:00:00
b92dac12-b355-4897-9106-fdd8f9aba971,Tola Kus,1991-12-23 00:00:00,2018-04-28 00:00:00
1caf82e6-027d-4221-8461-c5c68f6bf181,pan Michał Migała,2005-09-12 00:00:00,2013-08-03 00:00:00
018a5edd-6132-4b62-8986-78cabb0bd95f,Fryderyk Świć,1996-02-16 00:00:00,2015-10-15 00:00:00
4322f8ff-da21-4ea7-8d05-f9332e63d7a8,Anita Frycz,1967-04-28 00:00:00,2004-03-14 00:00:00
b6fa53c3-145d-4687-9394-ea449bfcf734,Cyprian Rezler,1979-04-22 00:00:00,2011-03-19 00:00:00
e65d6430-dae8-4cbf-a115-eb68c7ee5964,Róża Kawulok,1989-08-03 00:00:00,2020-07-05 00:00:00
5b24982f-465e-495a-84c9-d84bc779dcf3,Maciej Malisz,1968-07-18 00:00:00,2005-01-27 00:00:00
9efd5af9-79a3-4a56-8668-51f969adeb4e,Marianna Front,1970-05-17 00:00:00,2018-07-30 00:00:00
3eb986a4-271d-4f14-92ab-cfa6924eb2ce,Rozalia Groth,1987-03-30 00:00:00,2024-06-19 00:00:00
258292c3-3f7f-48ec-b6b1-82f32db8ffc9,Łukasz Wołodźko,1970-07-03 00:00:00,2012-11-26 00:00:00
8356bab2-e759-481e-870a-5e043a29e39e,Krystian Murach,1981-09-01 00:00:00,2013-03-21 00:00:00
f09af57c-a1e5-47cd-a254-bf30ca56154c,Kornelia Mizak,1963-02-11 00:00:00,2011-12-23 00:00:00
180b7f02-2281-4966-ba1a-e1ca3d45fb32,Karol Nędzi,1971-08-25 00:00:00,2012-12-13 00:00:00
0d137278-656a-48e8-b346-bdb630155653,Monika Ruszczak,1994-12-22 00:00:00,2020-02-05 00:00:00
d6d26e82-fda7-4fb7-9d13-4b23a25e2435,Tadeusz Minkiewicz,2003-09-15 00:00:00,2012-02-24 00:00:00
c0beef1f-42dc-4abb-8aa4-96f2989dea0b,pan Karol Kielczyk,1990-01-12 00:00:00,2000-10-29 00:00:00
a0c6f546-7b37-4f2b-9805-8fd8e23f560a,pan Ksawery Moskalik,1972-07-07 00:00:00,2002-03-25 00:00:00
da7abfc9-c15c-4050-b602-32f5b305d014,Maks Rzeźniczak,1988-05-18 00:00:00,2013-09-19 00:00:00
4e891949-6707-4f4c-a245-5695b1697428,Olga Kabala,1980-07-18 00:00:00,2008-10-16 00:00:00
f2636fea-2dfa-4142-91ea-e0284a272f44,Iwo Piekart,1977-08-09 00:00:00,2007-04-30 00:00:00
34c7fb49-f664-4894-b888-601b04549f6c,pan Piotr Łuczyk,1988-11-24 00:00:00,2006-09-27 00:00:00
12c52404-88bc-49e4-a2a9-10b1de54368e,Jerzy Palak,1983-12-17 00:00:00,2019-02-08 00:00:00
ff90571e-e611-447a-a2ed-a22413515218,Marcelina Kościuszko,1992-01-04 00:00:00,2003-02-16 00:00:00
d5ce40f9-7641-46f0-9f4f-143ff96a3a28,Jeremi Kolbusz,1977-05-28 00:00:00,2007-11-14 00:00:00
674c6e2b-5ef0-41a5-acb5-c6882f484092,Nataniel Pancerz,1977-03-14 00:00:00,2001-06-12 00:00:00
4a67b36a-c505-4410-bb6d-83d61fe00c5d,pani Olga Wyrostek,1995-07-28 00:00:00,2016-10-10 00:00:00
03b21d94-32a8-433f-8856-e0e40b315d87,Tola Midura,1987-01-17 00:00:00,2024-03-20 00:00:00
e463d63e-97fb-4c23-96b3-d6bb96636a05,pani Sandra Wawryniuk,2004-03-10 00:00:00,2022-08-13 00:00:00
45543ad6-c3d9-4ab0-ab86-a709384ff81e,Olga Banak,1977-05-30 00:00:00,2006-01-19 00:00:00
8f83e3a2-2236-4865-81fa-13e2e4baa7fd,pan Wiktor Olesiejuk,2005-02-22 00:00:00,2000-05-24 00:00:00
b2d5155e-cb6f-46c5-81a1-9fb720b759d9,Witold Dankiewicz,1963-11-12 00:00:00,2007-09-10 00:00:00
d4ed18e0-0fa8-4773-a235-80b5b8801a9d,Tobiasz Lica,1988-11-07 00:00:00,2003-03-03 00:00:00
00fb4b59-ab6d-4aee-bcdd-a7933b8fc5cd,Bartek Dub,1978-12-31 00:00:00,2020-12-10 00:00:00
00e70cfb-5a3d-48e7-9011-a3c4a4291a0f,pani Monika Balcewicz,1999-11-12 00:00:00,2023-06-15 00:00:00
d849713c-fdb0-4754-a282-1e6c4de51b7d,pani Roksana Walkusz,1982-12-10 00:00:00,2024-12-09 00:00:00
d09597b9-ac46-4c95-8499-3176d93908cf,Janina Sip,1988-09-27 00:00:00,2020-05-22 00:00:00
a5ccd2a9-89b4-4989-88ad-b49c7775eade,Jerzy Szczypiór,2002-10-17 00:00:00,2023-06-05 00:00:00
ec376ed0-00b0-47e3-b871-c61b19a171bc,Adam Szywała,1998-04-11 00:00:00,2002-07-27 00:00:00
52d6c70e-be5d-436b-8af3-e19483c1d62d,Kalina Szczesiak,1965-10-30 00:00:00,2002-01-05 00:00:00
f9ff03c8-7dfb-47a8-abf3-4609690e8ead,Krystyna Szumna,1989-04-29 00:00:00,2021-05-16 00:00:00
e2e56d62-aeab-45e0-b167-2811bd0edb13,Marcelina Bartuś,1972-10-20 00:00:00,2022-04-04 00:00:00
f0fbf3dc-1f50-4d5d-a7cb-45a4ee7437c1,Paweł Gorgol,1967-02-10 00:00:00,2007-07-26 00:00:00
ab421483-8ec3-403b-8e5f-c4b0b774c2bb,Konstanty Kiciak,1990-01-19 00:00:00,2020-06-08 00:00:00
d98b71eb-5cd1-4c6c-8149-feb454ef0a57,Malwina Behrendt,1961-09-30 00:00:00,2005-09-22 00:00:00
11c5331f-b091-449b-9032-3e0d52d51958,Michał Wincenciak,1964-10-01 00:00:00,2005-03-14 00:00:00
d73b02fd-7d41-45f4-b420-cbd656019ee6,Przemysław Dumin,1972-10-23 00:00:00,2001-11-08 00:00:00
09d835d2-0323-4790-bcb0-84bebace1cf0,Michał Szumiec,1981-07-29 00:00:00,2022-12-07 00:00:00
681cd56a-4248-4b03-8575-97ad9a13df8e,Olgierd Piersa,1966-10-12 00:00:00,2021-05-06 00:00:00
aca6cf4e-2068-46f5-9c0e-e3c5a906181a,Józef Pindral,1990-11-09 00:00:00,2016-07-18 00:00:00
ef2e92ab-9e7c-40db-901e-3a897083bcf8,Igor Chłąd,1996-03-10 00:00:00,2019-08-11 00:00:00
